  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  3.7000e-13          149.80474267    236604716.26066405        7906.93247516            0.00000000         7906.93247516 
  3.7500e-13          151.13843285    159724689.60715401        7977.32676267            0.00000000         7977.32676267 
  3.8000e-13          152.48334762    550697476.09681773        8048.31350275            0.00000000         8048.31350275 
  3.8500e-13          153.82365710    154405714.83547664        8119.05716796            0.00000000         8119.05716796 
  3.9000e-13          155.17600955    229943626.98068246        8190.43648010            0.00000000         8190.43648010 
  3.9500e-13          156.53744814    156037110.03466800        8262.29537321            0.00000000         8262.29537321 
  4.0000e-13          157.91026630    151673554.53668225        8334.75489804            0.00000000         8334.75489804 
  4.0500e-13          159.29520916    301599270.06976330        8407.85438396            0.00000000         8407.85438396 
  4.1000e-13          160.68641484    381257660.86772132        8481.28443145            0.00000000         8481.28443145 
  4.1500e-13          162.07967573    534323791.05170965        8554.82295624            0.00000000         8554.82295624 
  4.2000e-13          163.46792865    682198520.82926691        8628.09715264            0.00000000         8628.09715264 
  4.2500e-13          164.84483445     73350531.08549938        8700.77242966            0.00000000         8700.77242966 
  4.3000e-13          166.23689437    223985804.34215161        8774.24756535            0.00000000         8774.24756535 
  4.3500e-13          167.63772810     76698069.02050553        8848.18579665            0.00000000         8848.18579665 
  4.4000e-13          169.05303976    514826264.85342848        8922.88819599            0.00000000         8922.88819599 
  4.4500e-13          170.46513103    440741367.17690063        8997.42061785            0.00000000         8997.42061785 
  4.5000e-13          171.87692269    358620222.70036751        9071.93722645            0.00000000         9071.93722645 
  4.5500e-13          173.29269903    588101944.57824910        9146.66415211            0.00000000         9146.66415211 
  4.6000e-13          174.70139089    795361565.67094827        9221.01714836            0.00000000         9221.01714836 
  4.6500e-13          176.09543847    859130689.81326878        9294.59719548            0.00000000         9294.59719548 
  4.7000e-13          177.47293123    780045163.37391698        9367.30345365            0.00000000         9367.30345365 
  4.7500e-13          178.83759948    715470423.60304403        9439.33281335            0.00000000         9439.33281335 
  4.8000e-13          180.19084825    568859976.28628325        9510.75943463            0.00000000         9510.75943463 
  4.8500e-13          181.53888185    566454198.37607837        9581.91079138            0.00000000         9581.91079138 
  4.9000e-13          182.88187493    841976821.18907714        9652.79610090            0.00000000         9652.79610090 
  4.9500e-13          184.20913565    770438108.87000704        9722.85103177            0.00000000         9722.85103177 
  5.0000e-13          185.52334951    773458277.99771655        9792.21732849            0.00000000         9792.21732849 
  5.0500e-13          186.82384827    628791349.08702493        9860.85972102            0.00000000         9860.85972102 
  5.1000e-13          188.11686346    842330517.99643612        9929.10711819            0.00000000         9929.10711819 
  5.1500e-13          189.39301784   1391171768.94028139        9996.46457526            0.00000000         9996.46457526 
  5.2000e-13          190.63035617    682419560.33195245       10061.77325913            0.00000000        10061.77325913 
  5.2500e-13          191.85915296    688880535.97350800       10126.63110717            0.00000000        10126.63110717 
  5.3000e-13          193.07817714    833145464.17423213       10190.97314153            0.00000000        10190.97314153 
  5.3500e-13          194.28072064    700719652.79274392       10254.44529907            0.00000000        10254.44529907 
  5.4000e-13          195.47133182   1022183709.13842452       10317.28765001            0.00000000        10317.28765001 
  5.4500e-13          196.63922701   1235550513.77498889       10378.93101481            0.00000000        10378.93101481 
  5.5000e-13          197.77488315    890194405.19489312       10438.87275139            0.00000000        10438.87275139 
  5.5500e-13          198.89223895   1051509653.19621253       10497.84856686            0.00000000        10497.84856686 
  5.6000e-13          199.98192349    747681875.90655458       10555.36384953            0.00000000        10555.36384953 
  5.6500e-13          201.05939393   1184474697.78953338       10612.23445189            0.00000000        10612.23445189 
